utterance_id	speaker_id	target_id	reply_to_id	utterance
36	P00030	P00002		Sr. Presidente, penso que a decisão da Mesa corresponde à única interpretação possível do Regimento e que o recurso apresentado pelo PS não tem qualquer espécie de cabimento. Admitindo, por absurdo, a tese do Sr. Deputado José Luís Nunes, haveria, quando muito, lugar a que a Comissão especializada se pronunciasse sobre o projecto de urgência, mas só depois de o Plenário decidir ou não da urgência. Há aqui duas fases distintas, sendo a primeira no sentido de saber se a Assembleia decide ou não do processo de urgência. Uma vez decidido, este terá que decidir qual o regime que se aplica: ou o regime supletivo ou alguma das disposições que o Regimento da Assembleia contempla. Nessa fase, ainda se pode admitir que os deputados entendam que a decisão seja precedida de parecer da Comissão. Agora, parece-me totalmente absurdo que esta se pronuncie sobre qual o processo de urgência sem que o Plenário se tenha pronunciado sobre se se adopta ou não esse processo. Parece-me, Sr. Presidente, que uma tal solução não tem nenhuma hipótese de vencer nesta Câmara, visto que ela é ao arrepio do Regimento e de toda a lógica! Faça favor, Sr. Deputado.
37	P00401	P00030	36	O Sr. Deputado Lopes Cardoso disse, no fim, uma coisa que vai no se-
38	P00030	P00123	34	Não tem não, Sr. Deputado! Porque o que não faz sentido é que a Assembleia se pronuncie sobre o processo de urgência sem se ter pronunciado sobre se haverá urgência ou não. Se o Sr. Deputado substituir o seu requerimento por um outro que diga que deve baixar à Comissão antes de se votar o processo de urgência, isso terá uma certa lógica. Agora, vir dizer que não põem em causa a urgência mas que vêm discutir qual o processo a que se aplica a urgência, é que me parece - e o Sr. Deputado há-de convir nisso - que não tem qualquer lógica. A Assembleia tem de se pronunciar, antes de mais, sobre se concede ou não a urgência e em seguida ver-se-á qual o processo de urgência. Agora, não punha-mos a carroça à frente dos bois!
39	P00001	P00138	22	Tem a palavra o Sr. Deputado José Magalhães.
40	P00138	P00002		Sr. Presidente, Srs. Deputados: A bancada do PCP discorda profundamente dos termos, do conteúdo e do alcance que conseguimos divisar nesta estranha iniciativa do Grupo Parlamentar do PS. Estranhas coisas devem estar a passar-se no seio da coligação para que assim se faça turvo o que é realmente cristalino e para se querer impor à força aquilo que não tem o mínimo sustentáculo regimental. A Constituição, no seu artigo 173.º, n.º 2, estabelece que a Assembleia da República pode, por iniciativa das Assembleias Regionais dos Açores ou da Madeira, declarar a urgência do processamento de qualquer proposta de lei da sua iniciativa. Trata-se de um dispositivo constitucional ainda não aplicado entre nós e é esta a primeira vez que ele é efectivado. Devo dizer, aliás, que se trata lamentavelmente de uma péssima primeira vez, por tudo aquilo que estamos a poder testemunhar. Na verdade, aquilo que percebi que o Sr. Deputado José Luís Nunes gostaria de ter alegado, se o tivesse expresso, é que não estariam reunidas as condições para que a Assembleia da República se debruçasse sobre este processo. O Sr. Deputado José Luís Nunes disse que o Governo, isto é, a Assembleia Regional (foi lapso seu) não teria optado por nenhum condicionalismo no processo de urgência. Ora, isto é uma questão completamente falsa, digo-lhe eu, porque as Assembleias Regionais da Madeira e dos Açores não têm que optar por coisa nenhuma que caiba em exclusivo à Assembleia da República. Aqui é que entra o segundo equívoco ou a segunda irregimentalidade da impugnação - em má hora deduzida pelo PS -, que se radica numa profunda incompreensão do que seja o processo de urgência tal qual está hoje em vigor e tal qual virá, eventualmente, a estar em vigor com o novo regimento. Na verdade, como já aqui foi sublinhado, designadamente pelo Sr. Deputado Lopes Cardoso, que conhece este regime como todos os Srs. Deputados, independentemente de aspectos de aturadíssima formação jurídica - sem desprimor para o Sr. Deputado José Luís Nunes, evidentemente - este processo caracteriza-se por duas fases ou dois momentos totalmente distintos: numa primeira fase, a Assembleia da República debruça-se em terços de «sim» ou «não» sobre a concessão de urgência para o processamento de uma iniciativa e delibera, num segundo momento, sobre a tramitação, podendo fazê-lo até pelo silêncio, porque se nada deliberar expressamente tem-se por aplicável o regime supletivo, que consta do artigo 246.º do Regimento em vigor. Isto é óbvio, elementar e de meridiana clareza, nunca tendo sofrido contestação, visto que sempre se aceitou esta distinção entre os dois momentos. Quer isto dizer que o requerimento apresentado pelo PS é inteiramente descabido e, aliás, profundamente mal pensado e não sustentado em coisa nenhuma!
41	P00008	P00138	40	Muito bem!
42	P00138	P00002		O Regimento exprime taxativamente as circunstâncias em que se pode interromper um processo de debate. Isto significa que nenhum dos Srs. Deputados pode entrar aqui, agarrar num papel e suspender um debate! Se os Srs. Deputados querem mais uma interrupção, saiem da sala e vão-se embora! Não podem é meter um papelinho na Mesa e dizer que este ou aquele assunto baixa à Comissão de Equipamento, à conferência de líderes ou onde VV. Ex.as entendam! Não o podem fazer porque o Regimento só prevê, no artigo 250.º, a baixa antes da votação na generalidade, o que não é o caso, e, no artigo 155.º, a baixa no quadro das votações na especialidade. E aqui, ponto parágrafo! Não se prevê mais baixa nenhuma. Muito menos ainda, Sr. Presidente, Srs. Deputados, prevê o Regimento uma baixa que interrompesse um processo de urgência com base num suposto, imaginado e inteiramente fictício défice de pressupostos legais para o início do debate, imputando à Assembleia Regional da Madeira uma omissão de que ela realmente não é culpada, porque instruiu como tinha que instruir, com todos os papéis, o papel que aqui nos mandou e que nós temos que apreciar. A Assembleia Regional da Madeira integrou, como o Sr. Deputado José Luís Nunes sabe, todos os pressupostos legais para que este debate comece e acabe. E mesmo o requerimento para uma suposta integração do regime é impertinente, tal como a Mesa muito correctamente, em nossa opinião, entendeu. Não há portanto, Sr. Presidente e Srs. Deputados, nada a fazer senão confirmar a deliberação agora tomada pela Mesa. Pela nossa parte gostaríamos de manifestar a nossa estranheza por estarmos a ocupar este tempo à Câmara, quando deveríamos estar a votar, naturalmente, aquilo que é uma proposta de lei pacífica, aprovada por unanimidade por todos os partidos que têm assento na Assembleia Regional da Madeira, sobre uma questão que é suficientemente relevante para que não déssemos hoje ao País o triste espectáculo de uma impugnação bizarra, solipsista, inteiramente inexorável e sem nenhum fundamento regimental, que es-
43	P00010	P00138	42	Muito bem!
44	P00001	P00111		Tem a palavra o Sr. Deputado Luís Beiroco.
45	P00111	P00002		Sr. Presidente, Srs. Deputados: Creio que já quase tudo foi dito acerca desta matéria e por isso procurarei exprimir, de uma forma resumida, a posição do meu grupo parlamentar face ao requerimento apresentado pela bancada do PS e ao anúncio de impugnação da decisão de não admissão tomada pela Mesa. Creio, efectivamente, que não pode ser contestado, em primeiro lugar, que a Assembleia Regional da Madeira pode solicitar o processo de urgência e, em segundo lugar, que embora sempre que um agente parlamentar solicite um processo de urgência, possa, se quiser, dizer qual o regime que deseja que seja aplicado ao processamento de urgência. Isso é, no entanto, apenas uma faculdade do requerente. Ele não é obrigado de maneira alguma a fazê-lo, tanto mais que a última palavra nessa matéria caberá sempre ao Plenário da Assembleia da República. A Assembleia Regional da Madeira entendeu que não devia especificar qual o regime do processo de urgência que pretendia, tendo pedido simplesmente a urgência. Cabe agora ao Plenário decidir qual o regime de urgência que aplicará neste caso. De qualquer forma, penso que a decisão da Mesa foi correcta e que não faz sentido que se vá perguntar à Assembleia Regional da Madeira qual o regime que prefere, quando a Assembleia da República poderia, eventualmente, não vir a estar de acordo com esse regime. Creio, portanto, que o processo deve continuar e que é em fase ulterior que a Assembleia deve determinar, se a urgência for favoravelmente votada, qual o regime que deseja que seja aplicado a este pedido.
46	P00001	P00144	24	Tem a palavra a Sr.ª Deputada Cecília Catarino.
47	P00144	P00001	46	Sr. Presidente, é para, muito singelamente, fazer uma coisa que nunca pensei fazer, pelo menos em público, embora formalmente já tenha felicitado alguns deputados comunistas pelas suas intervenções. Queria, com efeito, congratular-me com a exposição do Sr. Deputado José Magalhães pela clareza e verticalidade que imprimiu às suas afirmações.
48	P00001	P00121		Tem a palavra o Sr. Deputado António Capucho.
49	P00121	P00001	48	Sr. Presidente, nos termos regimentais, requeiro a interrupção dos trabalhos por 15 minutos.
50	P00001	P00002		Com certeza, Sr. Deputado. Srs. Deputados, está suspensa a sessão por 15 minutos. Recomeçaremos os trabalhos às 16 horas e 30 minutos. Eram 16 horas e 15 minutos.
51	P00001	P00002		Srs. Deputados, está reaberta a sessão. Eram 16 horas e 40 minutos.
52	P00001	P00002		Vamos proceder de imediato à votação do recurso da decisão da Mesa interposto pelo Partido Socialista.
53	P00008	P00001	52	Peço a palavra para interpelar a Mesa, Sr. Presidente.
54	P00001	P00008	53	A interpelação está relacionada com este processo, Sr. Deputado?
55	P00008	P00001	54	Está, sim, Sr. Presidente.
56	P00001	P00008	55	Sr. Deputado, o processo já está esclarecido e já tinha anunciado o processo de votação.
57	P00008	P00001	56	Ó Sr. Presidente, mas antes de anunciar a reabertura da sessão V. Ex.ª anunciou logo que íamos passar à votação. Gostaríamos de saber se o partido que requereu uma interrupção dos trabalhos por 15 minutos nada tem a dizer sobre todo este processo. É que se trata de um processo que não é claro e, embora tenha havido uma decisão unânime da Mesa, a discussão não está, de modo algum, encerrada, Sr. Presidente! Há um conjunto de agentes parlamentares que ainda não se pronunciou e pode haver outros que entendam fazê-lo de novo!
58	P00001	P00002		Sr. Deputado, a Mesa decidiu proceder, ou melhor, anunciar que ia proceder à votação porque não tinha nenhuma inscrição e, obviamente, o PSD só se inscreverá se o desejar, Sr. Deputado! Portanto, como não temos nenhuma inscrição, vamos proceder à votação. Para que efeito pediu a palavra, Sr. Deputado Raul e Castro?
59	P00436	P00001	58	Queria inscrever-me para uma intervenção, Sr. Presidente!
60	P00123	P00001	58	Peço a palavra, Sr. Presidente.
61	P00001	P00123	60	Tem a palavra, Sr. Deputado.
62	P00123	P00001	61	Sr. Presidente, V. Ex.ª anunciou que ia proceder à votação, portanto não há lugar a mais nenhum pedido de inscrição nem pedido de uso da palavra. Requeiro que esse ponto do Regimento seja cumprido escrupulosamente.
63	P00001	P00002		Assim se fará, Sr. Deputado. Pausa. Sr. Deputado Raul e Castro, V. Ex.ª fez um pedido de inscrição. Acontece que ele foi feito já depois de a Mesa ter anunciado que se ia proceder à votação. Ora, parece-me que a Mesa deixou tempo suficiente para que o Sr. Deputado se tivesse inscrito antes...
64	P00436	P00001	63	Sr. Presidente, mas sucede que foi levantada a questão de que a Mesa só deveria anunciar a votação depois de ter, previamente, verificado que não havia inscrições. Foi nesse momento que eu fiz a inscrição, Sr. Presidente!
65	P00001	P00436	64	Sr. Deputado, a Mesa tinha já constatado que não havia nenhum pedido de inscrição naquele momento.
66	P00436	P00001	65	Exacto, foi por isso que fiz nesse momento a minha inscrição.
67	P00001	P00008	57	Sr. Deputado Jorge Lemos, para que efeito pede a palavra.
68	P00008	P00001	67	Sr. Presidente, creio que estamos a lavrar num equívoco! Estávamos no meio de um debate em que intervieram o Sr. Deputado José Luís Nunes, fundamentando o recurso, o Sr. Deputado Lopes Cardoso, o meu camarada de bancada José Magalhães e o Sr. Deputado Luís Beiroco, tendo entretanto o PSD entendido pedir 15 minutos de interrupção. Portanto, não foi formalmente anunciado que estava encerrado o debate e o Sr. Presidente reabriu os trabalhos anunciando a votação! Nem sequer colocou à Câmara a questão de saber se havia ou não mais algum Sr. Deputado que quisesse usar da palavra. Assim, não pode o debate ser considerado encerrado, visto não estarem preenchidas as condições regimentais que permitem fazê-lo, Sr. Presidente!
69	P00010	P00008	68	Muito bem!
70	P00001	P00008	68	Sr. Deputado, a Mesa considera que houve tempo suficiente para que os Srs. Deputados se tivessem inscrito imediatamente a seguir. Portanto, como se anunciou, vai proceder-se à votação!
71	P00120	P00001	70	Peço a palavra, Sr. Presidente.
72	P00001	P00120	71	Faça favor, Sr. Deputado.
73	P00120	P00001	72	Sr. Presidente, antes de V. Ex.ª proceder à votação, agradeço-lhe o favor de verificar se existe quórum de votação.
74	P00001	P00120	73	Assim se procederá, Sr. Deputado!
75	P00008	P00001	74	Peço a palavra, Sr. Presidente.
76	P00001	P00008	75	Faça o favor, Sr. Deputado.
77	P00008	P00001	76	Sr. Presidente, pretendo impugnar a decisão da Mesa de passar imediatamente à votação do recurso interposto pelo PS em virtude de não estarem cumpridos os normativos regimentais que permitem à Mesa encerrar um debate e anunciar o início de uma votação.
78	P00001	P00008	77	Assim se fará, Sr. Deputado, mas só depois da votação do outro recurso pendente.
79	P00138	P00001	78	É uma questão prévia, Sr. Presidente.
80	P00008	P00001	78	Peço a palavra, Sr. Presidente.
81	P00001	P00008	80	Faça favor, Sr. Deputado!
82	P00008	P00001	81	Sr. Presidente, V. Ex.ª anunciou que iria passar a votação do recurso interposto pelo Partido Socialista quanto à decisão unanimemente tomada pela Mesa de não admissão do requerimento apresentado pelo mesmo partido! Verificaram-se entretanto várias intervenções; houve um partido que pediu uma interrupção dos trabalhos, sem que antes a Mesa tivesse declarado encerrado o período de inscrições ou dado por encerrado o debate; passou o tempo de interrupção dos trabalhos pedido por esse partido; regressámos ao Plenário e V. Ex.ª, sem anunciar que não havia mais inscrições, declarou que se ia proceder à votação. Ora, consideramos que essa decisão é passível de recurso, uma vez que não estão cumpridas as normas regimentais que garantem a todos os partidos poderem pronunciar-se sobre um recurso de uma decisão da Mesa. Portanto, Sr. Presidente, este nosso recurso tem de anteceder a decisão de V. Ex.ª de pôr à votação o recurso interposto pelo Partido Socialista!
83	P00010	P00008	82	Muito bem!
84	P00008	P00001	81	Isto porque o que está em causa é o acto de V. Ex.ª ter considerado encerrado um debate que o não estava!
85	P00010	P00008	84	Muito bem!
