utterance_id	speaker_id	target_id	utterance_text
11	P00322	P00593	Apoiado!
12	P00593	P00002	É um ataque ao direito de livre escolha e uma menorização inaceitável da mulher,…
13	P00330	P00593	Muito bem!
14	P00593	P00002	… tal como é obrigar qualquer mulher numa situação destas a consultas de acompanhamento realizadas por objetores de consciência, por profissionais que se recusam a realizar e que condenam esta prática.
15	P00594	P00593	Isso mesmo!
16	P00593	P00002	As mulheres não têm de ser alvo de condicionamento na sua decisão. Necessitam de apoio informado e isento, não de doutrina ou censura!
17	P00549	P00593	Muito bem!
18	P00593	P00002	Também no que respeita ao veto sobre a possibilidade de adoção por casais do mesmo sexo, nenhumas dúvidas restam, se ainda as houvesse, sobre como o Sr. Presidente coloca os seus próprios preconceitos à frente de direitos fundamentais. Pois só o preconceito e o completo desconhecimento da realidade podem explicar que se recuse, a milhares de crianças, o direito a uma família, à sua família!
19	P00317	P00593	Muito bem!
20	P00593	P00002	Só a falta de argumentos pode explicar a ousadia de utilizar o conceito do superior interesse da criança como arma para, precisamente, negar à criança o direito à sua mãe ou ao seu pai, direito esse que configura, este sim, o seu superior interesse.
21	P00549	P00593	Muito bem!
22	P00593	P00002	Aliás, encontra-se na própria mensagem que acompanha o veto a resposta aos receios sobre o suposto atentado aos direitos e ao superior interesse da criança que tenha ou que venha a ter dois pais ou duas mães, e cito: «(…) a lei em vigor determina que seja observado um rigoroso processo de controlo relativamente aos pedidos de adoção (…)». Pois, descansem-se as almas inquietas que o rigoroso processo de avaliação e de controlo dos pedidos de adoção aplicar-se-á aos casais do mesmo sexo, tal como se aplica aos casais de sexo diferente.
23	P00317	P00593	Muito bem!
24	P00593	P00002	Quanto à preocupação de ainda não estar ainda demonstrado em que medida as soluções propostas promovem o bem-estar da criança e se orientam em função do seu interesse, só podemos responder, mais uma vez, com os inúmeros estudos que têm posto em evidência, ao longo de décadas, de forma sistemática e consistente, que não existem diferenças entre pais homossexuais e heterossexuais, nem quanto às competências parentais, nem quanto aos diversos parâmetros de desenvolvimento e bem-estar das crianças. E, por fim, podemos também responder com a realidade. Podemos convidar o Sr. Presidente da República e todos os que tenham este tipo de reservas quanto a esta situação a conhecerem a realidade das crianças institucionalizadas e sobretudo a saberem ouvi-las. Basta percorrer as centenas de instituições de acolhimento de crianças que existem no nosso País para, muitas vezes, ainda à soleira da porta, sermos confrontados com a mesma pergunta, mas as crianças não perguntam se somos casados, com quem somos casados…
25	P00001	P00593	Já ultrapassou o seu tempo, Sr.ª Deputada. Peço-lhe que conclua.
26	P00593	P00002	Vou já terminar, Sr. Presidente. As crianças não perguntam se somos casados, com quem somos casados, qual é a nossa religião, a nossa ideologia política ou o nosso clube de futebol. As crianças perguntam simplesmente: «Queres ser minha mãe?», ou «Queres ser o meu pai?» Com a votação que faremos hoje, deixa de existir na legislação portuguesa qualquer discriminação explícita por orientação sexual. É um momento histórico pelo qual o Bloco de Esquerda luta desde sempre. Seremos um País mais respeitador dos direitos humanos e, por isso, um País mais decente. Sr. Presidente, Sr. e Srs. Deputados: Somos mais uma vez chamados a restaurar a democracia e a resgatar direitos. Respondamos com a dignidade e o respeito que as mulheres, homens e crianças do nosso País merecem.
27	P00001	P00002	Para uma intervenção, tem a palavra a Sr.ª Deputada Isabel Moreira.
28	P00595	P00002	Sr. Presidente, Sr. e Srs. Deputados: O Presidente que mais promulgou na última década, em matéria de direitos das mulheres e direitos das pessoas LGBT (lésbicas, gays, bissexuais, travestis, transexuais e transgéneros), ainda que contrariado com a igualdade, um Presidente quase arco-íris, aquando da aprovação do casamento entre casais do mesmo sexo, promulgou com a seguinte fundamentação: «Conhecidas que são as posições expressas aquando do debate do diploma na Assembleia da República, tudo indica que as forças políticas que o aprovaram voltariam a aprová-lo. Nessas circunstâncias, o Presidente da República seria obrigado a promulgá-lo no prazo de oito dias. Sendo assim, entendo que não devo contribuir para arrastar inutilmente este debate, o que acentuaria as divisões entre os portugueses (…)». Agora, qual Pilatos, revoga a doutrina e veta um diploma que promulgou em 2007. Opta pela inutilidade, sobretudo pela sua própria inutilidade. Refere uma verdade de La Palice: «É bom que a mulher seja informada». Notícia de última hora: sempre foi! O que se revogou foi a anulação da autonomia da mulher no período de reflexão — repito, de reflexão —, que passaria a ser período de doutrinação e de tutela descarada.
29	P00006	P00595	Muito bem!
30	P00595	P00002	Pôs-se fim ao horror vingativo da pergunta referendária — opção livre, livre da mulher —, o que, de tão aberrantemente inconstitucional, tal como as consultas de planeamento familiar compulsivas, tipo pulseira eletrónica, não levou o Presidente ao embaraço de uma fiscalização preventiva. A esta hora, o institucionalismo sangra. Invoca-se jurisprudência constitucional em claro desvio ao que é um veto político, como se ensina no 1.º ano da faculdade, mas, em conformidade com ela, todas as cautelas já existiam pacificamente até a direita parlamentar as alterar à 25.ª hora contra todos, todos os pareceres das entidades auscultadas sobre a matéria. A fundamentação do veto desviado assenta em mentiras ao dizer-se que já existe informação e apoio da mulher em consulta pré-IVG obrigatória, que o Tribunal Constitucional nunca validou, nem poderia, qualquer acompanhamento compulsivo durante a reflexão, que é um absurdo estranhar-se não haver auscultação de entidades no regresso à normalidade, quando uma lei pacificada teve o seu debate altamente fundamentado em 2007, monitorizado, desde então, com resultados extraordinários a todos os níveis. Que quer o Presidente?! Debater e ouvir o debate havido em julho?! Voltar a ouvir de todos que o regime revogado é absurdo?! Voltar a recordar o aviso da Ordem dos Médicos, segundo o qual envolver objetores de consciência viola o seu Estatuto?!
31	P00001	P00002	Tem a palavra, para uma intervenção, o Sr. Deputado André Silva.
32	P00381	P00002	Sr. Presidente, Sr. e Srs. Deputados: Antes de mais, quero agradecer a possibilidade e o tempo dado ao PAN para esta intervenção. Estas causas — as causas dos direitos humanos, dos direitos das mulheres, dos direitos das pessoas LGBT, do fim da discriminação em todos os seus espectros — são causas estruturantes para nós e diria que, quanto menos silêncios existirem sobre estas matérias, quanto mais vozes se levantarem pela igualdade, mais contribuímos para a nossa democracia. Já o disse e volto a dizer que, quando falamos de direitos e discriminações, todos os prazos para as decisões políticas e parlamentares parecem uma eternidade. São mesmo uma eternidade.
33	P00317	P00381	Muito bem!
34	P00381	P00002	Passaram mais de dois meses entre o dia em que aprovámos, na generalidade, os projetos de lei do PAN, do Bloco de Esquerda, do PS e de Os Verdes e o dia em que o Presidente da República anunciou um veto incompreensível a um decreto enviado por esta Casa, precisamente com a finalidade de eliminar as discriminações no acesso à adoção, apadrinhamento civil e demais relações jurídicas familiares. Tempo demais em todos os aspetos. Apesar deste veto, incompreensível, devo reforçar que a nossa posição continua a ser esta: em Portugal, existe uma clara e evidente discriminação em relação à parentalidade e o tempo urge para estas famílias, o tempo urge para estas crianças. Por isso, devemos discutir, reapreciar e votar este Decreto, conscientes de que a discriminação vive, de facto, à velocidade da luz. A todas as pessoas — pais, mães, avós, tios, tias, futuros pais e futuras mães, futuros irmãos e irmãs — que têm acompanhado este processo, que dura há anos e anos, algumas delas presentes, uma vez mais, nas galerias do Hemiciclo, quero agradecer a resiliência, a luta, a coragem. Insisto, nós, por cá, queremos ansiosamente que o arco-íris continue a confiar e a crescer vigoroso no prisma das decisões que aqui tomamos.
35	P00001	P00002	Para intervir em nome do Grupo Parlamentar do PSD, tem a palavra o Sr. Deputado Fernando Negrão.
36	P00253	P00002	Sr. Presidente, Sr. e Srs. Deputados: Antes de mais, uma palavra para dizer que as mensagens que acompanham os vetos do Sr. Presidente da República são simples, claras e objetivas. Na primeira, o Sr. Presidente da República invoca o facto de tanto o regime da união de facto como o do casamento de pessoas do mesmo sexo excluírem a possibilidade da adoção por casais do mesmo sexo. Recordo-me da discussão que foi feita nesta Casa e de que o motivo invocado e aceite foi o de que era preciso ter em conta o superior interesse da criança, e, na altura, ainda não estava certo se a adoção protegia, ou não, o superior interesse da criança. Por isso, não foi adotada esta variante da adoção pelos casais do mesmo sexo. Pergunto se há alguma dúvida sobre se, nestas situações relativas à adoção, se deve, ou não, ter em conta o superior interesse da criança.
37	P00594	P00253	Deve, deve!
38	P00253	P00002	Julgo eu que ninguém terá, mesmo quem encolhe os ombros e diz que não tem, qualquer dúvida relativamente à importância do superior interesse da criança. Agora, este diploma, que foi vetado, relativamente à adoção por casais do mesmo sexo, começa, no seu artigo 1.º, pelo pressuposto da existência de uma discriminação entre casais de sexo diferente e casais do mesmo sexo no que respeita à adoção — este é o artigo 1.º, objeto do diploma. Ou seja, o que está aqui em causa não é o superior interesse da criança mas, sim, exclusivamente, uma alegada discriminação entre casais heterossexuais e casais homossexuais.
39	P00595	P00253	Já está na lei!
40	P00253	P00002	Este é o primeiro ponto da argumentação do Sr. Presidente da República. Além disso, na anterior Legislatura discutiu-se a coadoção e, nesse âmbito, na Comissão, fizeram-se cerca de duas dezenas de audições a associações e personalidades. Nesta Legislatura, surgem diplomas relativamente à adoção, ou seja, com uma amplitude bem maior do que a coadoção e, Sr. e Srs. Deputados, não foi feita qualquer audição, nem auscultação dos especialistas nesta matéria, e é isto que o Sr. Presidente da República volta a dizer.
41	P00352	P00253	Muito bem!
42	P00253	P00002	A necessidade de aprofundar esta discussão, a necessidade de ir mais longe naquilo que foi feito relativamente à coadoção foi bem feito, naquilo que é preciso fazer relativamente à adoção ainda necessita de maior discussão. É esta uma segunda opinião ou sugestão do Sr. Presidente da República. No que respeita ao segundo diploma, temos que a promulgação da Lei n.º 16/2007 ocorreu no pressuposto da exclusão da ilicitude na interrupção voluntária da gravidez. E o próprio Tribunal Constitucional, nos seus Acórdãos n. 288/98 e 617/2006, reforça a ideia da necessidade de informação às mulheres grávidas e cita exemplos concretos, designadamente na Alemanha e em Espanha, da existência dessa informação. Acontece que, com a revogação da Lei n.º 133/2015, fica frustrada essa informação que deve ser transmitida à mulher grávida. É esta mais uma das informações que o Sr. Presidente da República nos transmite.
43	P00595	P00253	A opinião é dele!
44	P00253	P00002	No fundo, o que o Sr. Presidente da República quis dizer com estes dois vetos e estas suas mensagens foi que, em primeiro lugar, é e foi coerente com opções legislativas anteriores, vetos e mensagens suas anteriores, em segundo lugar, teve em atenção a jurisprudência do Tribunal Constitucional…
45	P00595	P00253	Não, não teve!
46	P00253	P00002	… e, em terceiro lugar, que é da opinião que deve existir mais debate e mais informação. E bem, e muito bem! Agora, o que está mal é a argumentação que é usada, e nós, ontem, ouvimos argumentação do tipo: «Devolve-o à Assembleia da República, sabendo que vai ser derrotado!», uma frase; «O veto, neste caso, não serviu para nada!», outra citação. Sr. e Srs. Deputados, pergunto se, em democracia, esta é a maneira de discutir opiniões diversas;…
47	P00595	P00253	Ele tinha essa opinião! A opinião é dele!
48	P00253	P00002	Isto porque, ouvindo os argumentos de VV. Ex. , a ideia com que se fica é a de que só há convicções do vosso lado, não há convicções de mais lado algum.
49	P00352	P00253	Muito bem!
50	P00253	P00002	Os senhores fiquem com as vossas convicções que nós ficamos com as nossas convicções.
51	P00595	P00253	Era a posição dele, não era a nossa!
52	P00253	P00002	Concluindo, Sr. Presidente, direi que este tipo de linguagem e de argumentação mais não é do que um lamentável ajuste de contas com um Presidente em final de mandato.
53	P00001	P00002	Para uma intervenção, tem a palavra a Sr.ª Deputada Paula Santos.
54	P00292	P00002	Sr. Presidente, Sr. e Srs. Deputados: Mesmo no fim do seu mandato, o Presidente da República Cavaco Silva confirma a natureza das opções que fez ao longo destes 10 anos. A salvaguarda dos interesses e dos direitos do povo português nunca foram uma prioridade para o Presidente da República. Por isso, os vetos do Presidente da República aos decretos desta Assembleia, referentes à adoção por casais de pessoas do mesmo sexo e à reposição do quadro legal da interrupção voluntária da gravidez, além de traduzirem a desconsideração pelos direitos das crianças, pelos direitos das mulheres e pelos direitos sexuais e reprodutivos, revelam ainda um profundo revanchismo. Revanchismo da parte de um Presidente da República que nunca se conformou, por exemplo, com a despenalização da interrupção voluntária da gravidez a pedido da mulher até às 10 semanas. Os vetos do Presidente da República, que hoje ultrapassaremos na Assembleia da República, têm essa marca política profundamente negativa, da perspetiva política e ideológica do Presidente da República em exercício, no seu conteúdo mas, também, no sentido de oportunidade para a sua divulgação — exatamente no dia a seguir às eleições presidenciais. O Presidente da República tem direito à sua opinião e nós temos o direito a discordar dela. A decisão do Presidente da República Cavaco Silva não se prende com a necessidade de aperfeiçoamento dos decretos mas, sim, com a sua perspetiva política e ideológica, restritiva no plano dos direitos, bem reveladora das conceções retrógradas na análise destas questões, procurando impor retrocessos sociais e políticos que rejeitamos liminarmente. Sr. Presidente e Srs. Deputados, na decisão de veto do Decreto da Assembleia da República que possibilita a adoção por casais de pessoas do mesmo sexo, o Presidente da República alega a necessidade de salvaguardar o superior interesse da criança. O superior interesse da criança passa necessariamente pelo
55	P00322	P00292	Muito bem!
56	P00292	P00002	O PCP tem memória e não esquece a luta de milhares de mulheres em defesa dos direitos sexuais e reprodutivos e pelo direito à livre opção, assim como não esquece o facto de muitas e muitas mulheres terem sido vítimas do flagelo social que foi o aborto clandestino, sujeitando-se a condições indignas e humilhantes e que, em alguns casos, custou a sua própria vida. Sobre a despenalização da IVG, houve um pronunciamento do povo através de referendo, que não pode ser ignorado e que tem de ser respeitado.
57	P00322	P00292	Muito bem!
58	P00292	P00002	Sr. Presidente, Srs. Deputados: Da parte do PCP, confirmaremos os Decretos sobre a adoção por casais de pessoas do mesmo sexo e a reposição do quadro legal da IVG, na defesa dos direitos das crianças à felicidade, à proteção e ao adequado desenvolvimento, dos direitos das mulheres e dos direitos sexuais e reprodutivos.
59	P00001	P00002	Para uma intervenção, em nome do Grupo Parlamentar do CDS-PP, tem a palavra a Sr.ª Deputada Vânia Dias da Silva.
60	P00372	P00002	Sr. Presidente, Sr. e Srs. Deputados: O Sr. Presidente da República vetou os dois diplomas relativos ao pagamento de taxas moderadoras na interrupção voluntária da gravidez e à eliminação das discriminações no acesso à adoção, apadrinhamento civil e demais relações jurídicas familiares que, por iniciativa do PS, do BE, do PCP, de Os Verdes e do PAN, debatemos nesta Câmara, há menos de três meses. Dizemos hoje o que dissemos então. Mas vamos por partes. Primeiro, vamos ao que é absurdo, à questão das taxas moderadoras. Reafirmámos e sublinhámos, então, como hoje, que não está em causa qualquer alteração ao atual regime da interrupção voluntária da gravidez. O que aqui está em causa é se, de acordo com o princípio da igualdade, atos considerados pela lei como sendo atos médicos, devem ou não ter tratamento diferenciado.
61	P00509	P00372	Muito bem!
62	P00372	P00002	Sejamos claros: as Sr. e os Srs. Deputados do PS, do BE e do PCP acabaram de entregar um Orçamento do Estado que mantém — repito, mantém — atos e exames sujeitos a taxas moderadoras, como sejam a reanimação cardiorrespiratória, a mamografia, a ressonância magnética do crânio, a aplicação de aparelhos ortopédicos ou de aparelhos de gesso, desde que não seja, já sabemos, no âmbito dos cuidados de saúde primários.
63	P00509	P00372	Bem lembrado!
64	P00372	P00002	Portanto, pergunta-se: na IVG não se paga taxa moderadora porquê? Agora, o pagamento de taxas moderadoras é uma coisa ideológica, Sr. e Srs. Deputados? É bom lembrar que o que apenas está aqui em causa, e nada mais, é saber se devemos ou não — e sabendo que a esmagadora maioria dos portugueses, mais de 6 milhões, está isenta de taxa moderadora, designadamente por carência económica — isentar este ato médico de taxa moderadora. Não é intelectualmente sério — é mesmo falso — o argumento da «perseguição» das mulheres mais carenciadas, que, de resto, como sabem, seriam sempre isentas nestes casos. Repito, o que debatemos é simplesmente a seguinte questão: atos considerados como atos médicos por lei devem, nas mesmas circunstâncias — friso, nas mesmas circunstâncias —, ter um tratamento igual ou diferenciado? Ora, nós defendemos, hoje, como anteriormente, que devem ter um tratamento idêntico.
65	P00509	P00372	Muito bem!
66	P00595	P00372	Então, por que é que não fizeram só sobre as taxas?!
67	P00372	P00002	Onde é que está o preconceito, Sr. e Srs. Deputados? O preconceito está desse lado, e não deste, Sr. e Srs. Deputados.
68	P00595	P00372	Controverso?!
69	P00372	P00002	Nós, no CDS, não temos a arrogância de cair no preconceito fácil de que, quem não concorda connosco, é intolerante, e tão-pouco de que, de um lado, estão os esclarecidos e progressistas e, do outro, os facciosos e ignorantes.
70	P00509	P00372	Muito bem!
71	P00322	P00372	Era só ouvir-vos em julho, com maioria!
72	P00372	P00002	Tal atitude não só revela muito sobre quem a tem, como resulta de uma absoluta falta de argumentos.
73	P00509	P00372	Muito bem!
74	P00372	P00002	Ninguém aqui ignora a sociedade em que vivemos ou desconhece as diferentes realidades que existem e, muito menos, julga as diferentes mundividências que cada um, legitimamente, tem.
75	P00322	P00372	O 4 de outubro mudou-vos muito!
76	P00372	P00002	Não é nada disso que é posto em causa, e nada disso deve ser posto em causa. O que aqui está em causa, Sr. e Srs. Deputados, é tão-só o reconhecimento de que a adoção não é um direito de uns contra os outros, não é um direito de e para os adultos mas antes um direito das crianças e para as crianças.
77	P00509	P00372	Muito bem!
78	P00372	P00002	A doutrina do CDS, nesta matéria, é absolutamente clara. Em primeiro lugar, o direito a ser adotado é um direito da criança, Sr. e Srs. Deputados. O direito a adotar é um direito importante e relevante, mas sempre, sempre, subordinado ao superior interesse da criança. Em segundo lugar, e ao contrário da arrogância das certezas de alguns, a humildade das nossas incertezas leva-nos, em caso de dúvida, a fazer prevalecer o direito das crianças, em detrimento de qualquer outro direito ou de qualquer outra legítima expectativa.
79	P00509	P00372	Muito bem!
80	P00372	P00002	Em terceiro lugar, e por último, não ignoramos os problemas do instituto da adoção, mas também não esquecemos os avanços dos últimos anos, como a significativa redução de prazos para avaliação dos candidatos e decisão por parte da segurança social. Sr. Presidente, Sr. e Srs. Deputados: As dúvidas subsistiam e permanecem. Subsistindo dúvidas, não hesitamos no lado em que estamos: no lado do superior interesse da criança.
81	P00001	P00002	Para uma intervenção, tem a palavra a Sr.ª Deputada Heloísa Apolónia.
82	P00204	P00002	Sr. Presidente e Sr. e Srs. Deputados, assim que Os Verdes conheceram o veto por parte do Sr. Presidente da República, relativamente aos diplomas da interrupção voluntária da gravidez e da adoção por casais do mesmo sexo, a primeira reação que tiveram foi a de dizer: «Contribuiremos para que na Assembleia da República se confirmem os diplomas agora vetados pelo Sr. Presidente da República». Sr. e Srs. Deputados, diz o Sr. Presidente da República, relativamente ao diploma da adoção por casais do mesmo sexo, que a matéria não foi suficientemente debatida. Sabem o que acho, Sr. e Srs. Deputados? O Sr. Presidente da República, o Sr. Prof. Cavaco Silva, nem daqui a 100 anos consideraria que este diploma ou esta matéria estariam discutidos! É que quem não quer ver, não vê! Julgo que o debate que se promoveu nos últimos anos na Assembleia da República e fora da Assembleia da República foi extraordinariamente esclarecedor e que levou inclusivamente a um posicionamento diferenciado agora, nesta Legislatura, aqui, na Assembleia da República. Sr. e Srs. Deputados — e, com isto, respondo também à Sr.ª Deputada do CDS —, Os Verdes têm um primeiro objetivo nesta matéria: o superior interesse da criança, como por diversas vezes o afirmámos e reafirmámos nos debates que se fizeram aqui, na Assembleia da República. Por isso, Sr.ª Deputada do CDS, Sr. e Srs. Deputados, há instituições que zelarão pelo superior interesse da criança, quando decidirem sobre a adoção. E sabem que mais? Há determinados casais heterossexuais que não zelarão, nem cumprirão, nem assegurarão o superior interesse da criança, e, por isso, não adotarão! E há determinados casais homossexuais, como heterossexuais, Sr. e Srs. Deputados, que garantirão o superior interesse da criança e tudo aquilo que uma criança precisa para se desenvolver, e, por isso, adotarão! Custe o que custar às Sr. e aos Srs. Deputados, adotarão! Depois, relativamente ao diploma sobre a interrupção voluntária da gravidez, isto não deixou de ser caricato. A Sr.ª Deputada do CDS passou toda a intervenção a falar das taxas moderadoras.
83	P00262	P00204	Tem nome! Tem nome e tem partido que vai a votos!
84	P00204	P00002	Ora, nós estamos aqui para confirmar os diplomas vetados pelo Sr. Presidente da República. E não deixa de ser curioso que esse não foi argumento usado no veto do Sr. Presidente da República! Isso deve preocupá-la, Sr.ª Deputada, deve preocupá-la.
85	P00595	P00204	É só isso!
86	P00204	P00002	E, por isso, diz que não há informação, não há acompanhamento, que os objetores de consciência já não contam, que as consultas de planeamento familiar obrigatórias já não existem. A Sr.ª Deputada sabe tanto quanto nós que a informação e o acompanhamento existem e estão contemplados na lei. Agora, esta questão absolutamente desprezível, de condicionar os direitos das mulheres, de facto, não está como o Sr. Presidente da República gostaria que estivesse. Agora, Sr. e Srs. Deputados, vamos a factos: o Sr. Presidente da República sabia que os diplomas seriam confirmados, como vão ser agora, pela Assembleia da República. Procurou, pois, então, atrasar o processo. Mas, mais, procurou talvez um ajuste de contas em relação à aprovação dos diplomas aqui, na Assembleia da República. Mas aquilo que Os Verdes têm a dizer é o seguinte: isto é negativo. Poder-se-ia dizer: «Não faz mal, por mais uns dias, por mais umas semanas, o diploma vai ser confirmado!». Pois é! Mas é que cada dia em que se estabelece uma forma de condicionamento das mulheres, em que se estabelece a discriminação de qualquer cidadão português e em que se adia o superior interesse das crianças está mal, Sr. e Srs. Deputados! Está mal! E é esta a questão absolutamente negativa dos vetos do Sr. Presidente da República. Só que, e, com isto, termino, Sr. Presidente, Os Verdes consideram que aqui «se vira o feitiço contra o feiticeiro», porque a confirmação pela Assembleia da República dos diplomas da interrupção voluntária da gravidez e da adoção por casais do mesmo sexo vem dar mais força a todas as normas neles contempladas.
87	P00001	P00002	Para uma segunda intervenção, em nome da bancada do PS, tem a palavra o Sr. Deputado Pedro Delgado Alves.
